X,Y,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,CONDICION,GEOGRAFICO,NOMSERV,TIPO,CVE_SERV,AMBITO,icon_url
-116.42210790403,31.5833373563877,"0200133816557011","02","001","3381","6557","011",En Operación,Templo,Capilla San Isidro Labrador,No Aplica,"2",Rural,./0.png
-116.546717529717,31.8667108573439,"0200100010134046","02","001","0001","0134","046",En Operación,Escuela,Jose Vasconcelos,Preescolar,"2",Urbana,./1.png
-116.546700890357,31.862068549559,"0200100010134004","02","001","0001","0134","004",No Aplica,Plaza,Ninguno,No Aplica,"3",Urbana,./2.png
-116.553679547775,31.9010362059281,"0200100010100014","02","001","0001","0100","014",En Operación,Escuela,Gregorio Torres Quintero,Preescolar,"1",Urbana,./1.png
-116.605443460331,31.7381737801632,"0200146346472010","02","001","4634","6472","010",En Operación,Templo,Ninguno,No Aplica,"1",Rural,./0.png
-116.601398109571,31.7389545800083,"0200146346472003","02","001","4634","6472","003",No Aplica,Mercado,Ninguno,No Aplica,"2",Rural,./3.png
-116.632823710069,31.6950086902387,"0200145236538003","02","001","4523","6538","003",No Aplica,Mercado,Ninguno,No Aplica,"1",Rural,./3.png
-116.548044399747,31.8951096497354,020010001012A030,"02","001","0001",012A,"030",No Aplica,Plaza,Ninguno,No Aplica,"3",Urbana,./2.png
-116.200653750286,31.0827955199559,"0200143486862001","02","001","4348","6862","001",No Aplica,Mercado,Ninguno,No Aplica,"3",Rural,./3.png
-116.197968919627,31.0843719203216,"0200143486862002","02","001","4348","6862","002",En Operación,Templo,Ninguno,No Aplica,"1",Rural,./0.png
-116.207470399593,31.0770642504506,"0200143486862001","02","001","4348","6862","001",En Operación,Templo,Ninguno,No Aplica,"2",Rural,./0.png
-116.541698399851,31.7576093797265,"0200140686472020","02","001","4068","6472","020",En Operación,Templo,Ninguno,No Aplica,"1",Rural,./0.png
-116.540372319978,31.7603837702503,"0200140686472014","02","001","4068","6472","014",En Operación,Templo,Ninguno,No Aplica,"2",Rural,./0.png
-116.534434049988,31.7627792796929,"0200140686472013","02","001","4068","6472","013",No Aplica,Mercado,Ninguno,No Aplica,"3",Rural,./3.png
-116.540825462586,31.7577602752771,"0200140686472006","02","001","4068","6472","006",En Operación,Escuela,Primavera,Preescolar,"4",Rural,./1.png
-116.540429504143,31.7581069738937,"0200140686472006","02","001","4068","6472","006",En Operación,Escuela,Emiliano Zapata,Primaria,"5",Rural,./1.png
-116.537981059887,31.7607523101341,"0200140686472003","02","001","4068","6472","003",No Aplica,Mercado,Ninguno,No Aplica,"6",Rural,./3.png
-114.708334059773,30.6859597096676,"0200138286966021","02","001","3828","6966","021",En Operación,Instalación Deportiva o Recreativa,Ninguno,Cancha,"1",Rural,./4.png
-114.707966779499,30.687100709908,"0200138286966020","02","001","3828","6966","020",No Aplica,Mercado,Abarrotes Mis Amazonas,No Aplica,"2",Rural,./3.png
-114.709308710176,30.6878181101426,"0200138286966019","02","001","3828","6966","019",No Aplica,Instalación Gubernamental,Delegación Municipal Puertecitos,Palacio de Gobierno,"3",Rural,./5.png
-114.709347731426,30.6890255174638,"0200138286966018","02","001","3828","6966","018",En Operación,Escuela,Ejido Delixias,Primaria,"4",Rural,./1.png
-114.708477457671,30.6889114026522,"0200138286966018","02","001","3828","6966","018",En Operación,Centro de Asistencia Médica,Ninguno,Centro de Salud,"5",Rural,./6.png
-114.710676025644,30.6875058751403,"0200138286966012","02","001","3828","6966","012",En Operación,Escuela,Jesús Reyes Eroles,Primaria,"6",Rural,./1.png
-114.709790966467,30.6870757732633,"0200138286966012","02","001","3828","6966","012",En Operación,Escuela,Telesecundaria No. 5,Secundaria,"7",Rural,./1.png
-114.713809710203,30.6870146803355,"0200138286966006","02","001","3828","6966","006",En Operación,Templo,Ninguno,No Aplica,"8",Rural,./0.png
-116.560617309833,31.7486506595703,"0200137386472004","02","001","3738","6472","004",En Operación,Templo,Ninguno,No Aplica,"1",Rural,./0.png
-116.422146480027,31.5839014201185,"0200133816557011","02","001","3381","6557","011",No Aplica,Plaza,Ninguno,No Aplica,"11",Rural,./2.png
-116.42258912029,31.5834047399737,"0200133816557003","02","001","3381","6557","003",En Operación,Escuela,Nicolás Bravo,Primaria,"4",Rural,./1.png
-116.569935791021,32.0799622556107,"0200133686256039","02","001","3368","6256","039",En Operación,Escuela,Jacob Grimm,Preescolar,"2",Rural,./1.png
-116.57835524969,32.082576420354,"0200133686256012","02","001","3368","6256","012",No Aplica,Mercado,Ninguno,No Aplica,"5",Rural,./3.png
-116.575095380368,32.0797428300365,"0200133686256001","02","001","3368","6256","001",En Operación,Templo,Ninguno,No Aplica,"4",Rural,./0.png
-116.546825679959,31.8812039102549,"0200100010172046","02","001","0001","0172","046",En Operación,Pozo,CONAGUA,Agua,"1",Urbana,
-116.54413080559,31.8799987021601,"0200100010172039","02","001","0001","0172","039",En Operación,Escuela,Frida Kahlo,Preescolar,"2",Urbana,./1.png
-116.544280331654,31.8803934889058,"0200100010172039","02","001","0001","0172","039",En Operación,Centro de Asistencia Médica,Ninguno,Centro de Salud,"3",Urbana,./6.png
-116.543087152136,31.8806943040446,"0200100010172029","02","001","0001","0172","029",En Operación,Escuela,Luis Donaldo Colosio Murrieta,Primaria,"4",Urbana,./1.png
-116.538055336216,31.8854026732012,"0200100010168030","02","001","0001","0168","030",En Operación,Escuela,Telebachillerato Comunitario Gomez Morín Num. 4,Medio Superior,"5",Urbana,./1.png
-116.53851664985,31.8841904196207,"0200100010168015","02","001","0001","0168","015",En Operación,Templo,Ninguno,No Aplica,"6",Urbana,./0.png
-116.539922679946,31.8798750198029,"0200100010172004","02","001","0001","0172","004",En Operación,Templo,Ninguno,No Aplica,"7",Urbana,./0.png
-116.539279890431,31.8812228897887,"0200100010168007","02","001","0001","0168","007",No Aplica,Mercado,Ninguno,No Aplica,"8",Urbana,./3.png
-116.537915220463,31.8810354902989,"0200100010168005","02","001","0001","0168","005",No Aplica,Mercado,Ninguno,No Aplica,"9",Urbana,./3.png
-116.194717430291,31.092342049856,"0200131226862004","02","001","3122","6862","004",En Operación,Escuela,27 de Enero,Primaria,"1",Rural,./1.png
-116.087672879787,31.0919187702343,"0200131196843008","02","001","3119","6843","008",No Aplica,Mercado,Ninguno,No Aplica,"5",Rural,./3.png
-116.08393939991,31.0927628601776,"0200131196843001","02","001","3119","6843","001",En Operación,Escuela,Telesecundaria No. 113,Secundaria,"3",Rural,./1.png
-116.084147689914,31.0939666503739,"0200131196843001","02","001","3119","6843","001",No Aplica,Plaza,Ninguno,No Aplica,"2",Rural,./2.png
-116.505505666659,31.6758097114738,"0200121839782027","02","001","2183","9782","027",En Operación,Escuela,Cuitlahuac,Preescolar,"1",Urbana,./1.png
-116.514720912302,31.6733163234368,"0200121838784001","02","001","2183","8784","001",En Operación,Escuela,Secundaria Num. 112,Secundaria,"1",Urbana,./1.png
-116.515291971866,31.6680743096055,"0200121838500045","02","001","2183","8500","045",En Operación,Escuela,Buenavista,Preescolar,"1",Urbana,./1.png
-116.518815150484,31.6709475800801,"0200121838500044","02","001","2183","8500","044",No Aplica,Instalación Gubernamental,Ninguno,Palacio de Gobierno,"2",Urbana,./5.png
-116.510663420233,31.6728925202276,"0200121838500022","02","001","2183","8500","022",En Operación,Templo,Ninguno,No Aplica,"3",Urbana,./0.png
-116.512172479876,31.6724886498918,"0200121838500020","02","001","2183","8500","020",En Operación,Templo,Ninguno,No Aplica,"4",Urbana,./0.png
-116.513665858504,31.6721708249268,"0200121838500018","02","001","2183","8500","018",En Operación,Escuela,Benito Juarez,Primaria,"5",Urbana,./1.png
-116.514277213884,31.6723046185269,"0200121838500018","02","001","2183","8500","018",En Operación,Centro de Asistencia Médica,Ninguno,Centro de Salud,"6",Urbana,./6.png
-116.515976149718,31.6696273964072,"0200121838500015","02","001","2183","8500","015",En Operación,Escuela,Mixtecalt,Primaria,"7",Urbana,./1.png
-116.503423120458,31.6814550800416,"0200121831132043","02","001","2183","1132","043",En Operación,Templo,Ninguno,No Aplica,"1",Urbana,./0.png
-116.512962800514,31.6778589800989,"0200121831132034","02","001","2183","1132","034",En Operación,Templo,Ninguno,No Aplica,"2",Urbana,./0.png
-116.510217420187,31.6769516901848,"0200121831132012","02","001","2183","1132","012",En Operación,Templo,Ninguno,No Aplica,"3",Urbana,./0.png
-116.745219150183,32.0259725196157,020011870628A007,"02","001","1870",628A,"007",En Operación,Escuela,Preescolar Comunitario,Preescolar,"1",Rural,./1.png
-116.744661879494,32.0259450901449,020011870628A007,"02","001","1870",628A,"007",No Aplica,Plaza,Ninguno,No Aplica,"2",Rural,./2.png
-116.205455310339,31.9118915799017,"0200116546330004","02","001","1654","6330","004",No Aplica,Plaza,Ninguno,No Aplica,"1",Rural,./2.png
-116.498415710288,32.1047282501509,"0200112666218005","02","001","1266","6218","005",En Operación,Escuela,Maria Emes,Preescolar,"4",Rural,./1.png
-116.497530999609,32.1028687096966,"0200112666218006","02","001","1266","6218","006",No Aplica,Mercado,Ninguno,No Aplica,"3",Rural,./3.png
-116.498419109996,32.1026161503415,"0200112666218006","02","001","1266","6218","006",No Aplica,Plaza,Ninguno,No Aplica,"2",Rural,./2.png
-116.156768349815,30.9712408804469,"0200110656862029","02","001","1065","6862","029",No Aplica,Mercado,Ninguno,No Aplica,"1",Rural,./3.png
-116.156636079686,30.9709385502096,"0200110656862029","02","001","1065","6862","029",No Aplica,Mercado,Ninguno,No Aplica,"2",Rural,./3.png
-116.163254741016,30.9684339588703,"0200110656862017","02","001","1065","6862","017",En Operación,Escuela,Itzcoatl,Preescolar,"4",Rural,./1.png
